$(OWNED)	(ЕСТЬ)
$TradeFail_NotAllowed	Этот предмет не продается.
$TradeFail_Unknown	Сделка не прошла на сервере.
$TradeFailedNoCurrency	Не хватает средств: {1}.
$TradeFailedVendorNoCurrency	У торговца не хватает средств: {1}.
$TradeOfferChanged	Выбранный предмет был обновлен на сервере. Завершение предыдущей транзакции.
$TRADING	ТОРГОВЛЯ
$TransferContainerLabel	ХРАНИЛИЩЕ
$TransferPlayerLabel	ИГРОК
$TRYAGAIN	ПОПРОБУЙТЕ ЕЩЕ РАЗ
$TryBuyAtomsSteamOverlayDisabled	Атомы можно приобрести в магазине Steam.
$TryBuyFallout1stSteamOverlayDisabled	Fallout 1st можно приобрести в магазине Steam.
$TuneToStation	ВКЛЮЧИТЬ СТАНЦИЮ
$TUTORIAL	ОБУЧЕНИЕ
$TutorialModalTeamInstanceHeader	ПОМОГИТЕ ЛИДЕРУ ВАШЕЙ КОМАНДЫ!
$TutorialModalTeamInstanceBody	Помогите лидеру вашей команды в его приключении
$TutorialModalTeamInstanceMessage1	Вместе убивайте существ, преодолевайте трудности и выполняйте совместные задания
$TutorialModalTeamInstanceMessage2	Слушайте разговоры лидера команды
$TutorialModalGoldBullionInstanceHeader	ПРЕДСТАВЛЯЕМ ЗОЛОТЫЕ СЛИТКИ
$TutorialModalGoldBullionInstanceBody	Золотая лихорадка началась!
$TutorialModalGoldBullionInstanceMessage1	Зарабатывайте казначейские облигации, выполняя ежедневные задания Wastelanders и участвуя в публичных событиях
$TutorialModalGoldBullionInstanceMessage2	С помощью золотых прессов меняйте казначейские облигации на золотые слитки, вплоть до максимального дневного количества
$TutorialModalGoldBullionInstanceMessage3	Отыщите Сэмюэла в Опоре, Мортимера в Ядре Кратера или Регз в Убежище 79 и обменяйте золотые слитки на мощные уникальные предметы
$TutorialModalReputationInstanceHeader	РЕПУТАЦИЯ
$TutorialModalReputationInstanceBody	Вы можете проверить свою репутацию в любое время в социальном меню
$TutorialModalsReputationInstanceMessage1	Чем лучше ваши отношения с поселенцами, тем больше уникальных предметов и рецептов вам будет доступно у торговцев Опоры, а дружба с рейдерами расширит для вас ассортимент торговцев Кратера.
$TutorialModalTeamInstanceHeader	ПОМОГИТЕ ЛИДЕРУ ВАШЕЙ КОМАНДЫ!
$TutorialModalTeamInstanceBody	Помогите лидеру вашей команды в его приключении
$TutorialModalTeamInstanceMessage3	Некоторые действия, такие как активация предметов для задания, общение и подбор некоторых предметов, доступны только лидеру команды
$TutorialModalTeamInstanceMessage4	Сейчас вы находитесь в мире лидера команды. Некоторые элементы истории в этой области могут отличаться
$TutorialModalScoreTutorialBody	Зарабатывайте очки S.C.O.R.E. и разблокируйте награды на игровом поле сезона
$TutorialModalScoreTutorialHeader	Представляем сезоны!
$TutorialModalScoreTutorialMessage1	Посмотреть список испытаний S.C.O.R.E. можно с помощью виджета испытаний в меню карты или главном меню.
$TutorialModalScoreTutorialMessage2	Чтобы зарабатывать очки S.C.O.R.E., выполняйте ежедневные и еженедельные испытания.
$TutorialModalScoreTutorialMessage3	Повышая свой ранг S.C.O.R.E., вы разблокируете новые награды!
$TutorialModalScoreTutorialMessage4	Забирайте свои награды на игровом поле сезона!
$TutorialModalSoloInstanceHeader	КОМАНДНАЯ ОБЛАСТЬ
$TutorialModalSoloInstanceBody	Личная, уникальная для вашего персонажа область
$TutorialModalSoloInstanceMessage1	Здесь можете находиться только вы и ваши соратники. Друзья и незнакомцы не смогут к вам присоединиться.
$TutorialModalSoloInstanceMessage2	Принимайте важные решения, которые повлияют на историю.
$TutorialModalSoloInstanceMessage3	В личной области сохранение прогресса происходит реже. Перед выходом из такой области убедитесь, что была достигнута контрольная точка!
$TutorialModalSPECIALHeader	БОЕКОМПЛЕКТЫ S.P.E.C.I.A.L.
$TutorialModalSPECIALSubheader	С помощью автоматов для учетных карт вы можете в любой момент изменить конфигурацию.
$TutorialModalSPECIALMessage1	Теперь вам доступны боекомплекты S.P.E.C.I.A.L. Вы можете создавать уникальные комбинации.
$TutorialModalSPECIALMessage2	Просматривайте свои боекомплекты S.P.E.C.I.A.L. с помощью автомата, доступного для размещения в C.A.M.P. во вкладке изготовление предметов.
$TutorialModalSPECIALMessage3	Автоматы для учетных карт также можно найти в определенных мест на просторах Аппалачии. 
$TYPE	ТИП
$Type	Тип
$TYPE_ALL	ТИП (ВСЕ)
$TYPE_AGILITY	ТИП (ЛОВ)
$TYPE_CHARISMA	ТИП (ХАР)
$TYPE_ENDURANCE	ТИП (ВЫН)
$TYPE_INTELLIGENCE	ТИП (ИНТ)
$TYPE_LUCK	ТИП (УДЧ)
$TYPE_PERCEPTION	ТИП (ВОС)
$TYPE_STRENGTH	ТИП (СИЛ)
$ULTRA	УЛЬТРА
$UNALLOCATED_SPECIAL	НЕРАСПРЕДЕЛЕННЫХ S.P.E.C.I.A.L.: {1}
$UNASSIGNED	НЕТ НАЗНАЧЕНИЯ
$UNAVAILABLE	НЕДОСТУПНО
$UNDERATTACK	ПОД АТАКОЙ!
$UNDO	ОТМЕНИТЬ
$UNEQUIP	УБРАТЬ
$UNFAVORITE	УДАЛЕНИЕ ИЗ ИЗБРАННОГО
$Unfocused	Приложение неактивно.
$Unfollow	Удаление из избранного
$Unfollowing	Перемещение из избранного...
$Unknown	Неизвестн.
$UnknownReturnToStart	Произошла неизвестная ошибка. Возвращаемся к началу.
$UNLIKE	УБРАТЬ ПОХВАЛУ
$UNLINK	ОТВЯЗАТЬ
$UNLOAD	РАЗРЯДИТЬ
$UNLOAD ALL	РАЗРЯДИТЬ ВСЕ
$UNLOCK	РАЗБЛОКИРОВАТЬ
$UNLOCKACCESS	ОТКРЫТЬ ДОСТУП
$UNLOCK FOR	Подтвердить покупку за ¢
$UNLOCK FOR FREE	РАЗБЛОКИРУЙТЕ БЕСПЛАТНО!
$UNLOCK NOW FOR FREE!	РАЗБЛОКИРОВАТЬ БЕСПЛАТНО
$UNLOCK NOW FOR NUM ATOMS	РАЗБЛОКИРОВАТЬ СЕЙЧАС ({1} ¢)
$UnlockRequired	Открыть в Атомной лавке ¢
$UNLOCKWITH	ОТКРЫВАЕТСЯ С ПОМОЩЬЮ
$UNLOCKWITHZEUS	ОТКРЫВАЕТСЯ С ПОМОЩЬЮ ¼
$UNOWNED	НЕ ПРИОБР.
$Unowned	Не захвачено
$UnownedAlly	Союзник {1}
$UNOWNED/NOT DOWNLOADED	НЕ ПРИОБРЕТЕНО/НЕ ЗАГРУЖЕНО
$UNSHARE_W_TEAM	СКРЫТЬ ОТ КОМАНДЫ
$Unsubscribe	Отписаться
$Unsubscribing	Отписываюсь...
$UnusedPoints	НЕИСПОЛЬЗ. ОЧК.
$UPCOMINGREWARDS	ПРЕДСТОЯЩИЕ НАГРАДЫ
$Update	Обновить
$UPGRADE	УЛУЧШЕНИЕ
$Use	ИСПОЛЬЗОВАТЬ
$USE CONSOLE EMAIL	ИСПОЛЬЗОВАТЬ СИСТЕМНЫЙ АДРЕС ЭЛЕКТРОННОЙ ПОЧТЫ
$Use Team Chat	Использовать голосовой чат команды
$USE_CURSOR	ИСПОЛЬЗОВАТЬ КУРСОР
$UseLargeEasyReadText	Включить более крупный шрифт для чтения заметок
$UserHasAccount	Для игры в Fallout 76 нужна учетная запись Bethesda.net. У вас она есть?
$Username	Имя пользователя
$UserSignedOut	Пользователь вышел из учетной записи.
$val	Цена
$Variant	Вариант
$VARIANT	ВАРИАНТ
$VATS	VATS
$VATSGrenade_All	Все
$VATSGrenade_MyOwn	Только мои
$VATSGrenade_None	Нет
$VATSGrenadeMineTargetMode	Режим наведения для гранат и мин
$VDSGPrepend	Номер в каталоге VDSG
$VendingNoSlots	Нет доступных ячеек.
$VENDOR	ТОРГОВЕЦ
$VENDOR_HEADER_TIME	ВРЕМЯ
$VENDOR_HEADER_DATE	ДАТА
$VENDOR_HEADER_INFO	СВЕДЕНИЯ О ПРЕДМЕТЕ
$VENDOR_HEADER_SOLD	ПОКУПАТЕЛЬ
$VendorCapsTooLow	У торговца не хватает крышек. Все равно подтвердить сделку?
$VENDOROFFERS	ПРЕДЛОЖЕНИЯ ТОРГОВЦА
$VerifyingDocAcceptance	Проверка принятия документа
$VERY FAST	ОЧ БЫСТР
$VERY SLOW	ОЧ МЕДЛ
$Vibration	Вибрация
$VIEW	ОБЗОР
$VIEW_ATHENAS	ПРОСМОТРЕТЬ МИРЫ
$VIEWDETAILS	НАЖМИТЕ, ЧТОБЫ УЗНАТЬ ПОДРОБНОСТИ
$View Eula	ПРОЧИТАТЬ СОГЛАШЕНИЯ
$VIEW IN STORE	ПЕРЕЙТИ В АТОМНУЮ ЛАВКУ
$VIEW SEASONS	ПРОСМОТРЕТЬ СЕЗОНЫ
$View Roll	Поворот картинки
$VIEWPERKS	ПРОСМОТР СПОСОБНОСТЕЙ
$VIEW_REWARDS	ПРОСМОТРЕТЬ НАГРАДЫ
$VIEW_SPECIAL_LOADOUTS	ПРОСМОТР БОЕКОМПЛЕКТОВ S.P.E.C.I.A.L.
$VIEW_TEAMS	ОБЗОР КОМАНД
$VisitBuildToLike	Посетите эту лучшую постройку, чтобы похвалить ее.
$VISIT PSN STORE	ПОСЕТИТЕ МАГАЗИН PLAYSTATION™
$VISIT XBOX STORE	ПОСЕТИТЕ МАГАЗИН MICROSOFT
$VisitingCustom	Посещение личного мира
$VisitingPrivate	Посещает закрытый мир
$Voice	Голос
$Voice Chat Mode	Режим голосового чата
$VOTEDFOR	Вы проголосовали за карту
$VOTEFORMAP	ГОЛОСОВАТЬ
$Wait	ЖДАТЬ
$WAITING	ОЖИДАНИЕ
$Waiting for data...	Ожидание загрузки игровых данных...
$WaitingForPlayer	ЖДЕМ ИГРОКА {1}
$WaitingForPlayers	ОЖИДАНИЕ ДРУГИХ ИГРОКОВ
$WaitingForPlayersBabylon	Ожидание игроков
$WaitPrompt	Прождать
$WallpaperExteriorCategory	Фасадные обои
$WallpaperInteriorCategory	Обои
$WANTED	В РОЗЫСКЕ
$WANTED!	В РОЗЫСКЕ!	
$WATER	ВОДА
$Water	ВОДА
$WaterQuality	Качество воды
$Weapon	Оружие
$WELCOMETONUCLEARWINTER	Добро пожаловать в Nuclear Winter!
$Window_Border	Оконный режим с рамкой
$Window_Borderless	Оконный режим без рамки
$Window_Mode	Оконный режим
$WINNER	ПОБЕДИТЕЛЬ
$WINS	ПОБЕДЫ
$WNPC_Caravan	ЛИНИЯ СНАБЖЕНИЯ
$WNPC_Caravan_Header	Выберите место:
$WNPC_Command	КОМАНДА
$WNPC_Move	ПЕРЕСЕЛИТЬ
$Work together!	Работайте вместе!
$WORKBENCH REPAIR	ПОЧИНИТЬ
$WORKSHOP	МАСТЕРСКАЯ
$WORKSHOP BUDGET	БЮДЖЕТ
$Workshop_CantPlaceBlueprint_BadConditions	Здесь нельзя разместить этот чертеж.
$Workshop_ScrapAllConfirmationMessage	Разобрать все предметы?
$Workshop_ScrapAllFailureMessage	В этот раз нельзя разобрать предметы.
$WorkshopCampSlotsCooldownError	C.A.M.P. не активирована. С момента активации другой C.A.M.P. прошло слишком мало времени.
$WorkshopCampSlotsCollisionOnLoad	Невозможно разместить C.A.M.P. Предоставлено одно бесплатное размещение C.A.M.P.
$WorkshopCampSlotsDisabled	Ячейки C.A.M.P. сейчас недоступны.
$WorkshopCampSlotsPackUpDialogue	На этот раз нам не удалось разместить вашу C.A.M.P. Хотите сохранить ее и разместить новую?
$WorkshopCannotBuildRepairOnly	Этот объект недоступен для постройки.
$WorkshopCannotBuildRepairOnlyCAMP	Не удается разместить вашу платформу C.A.M.P.: обнаружены недоступные для постройки объекты.
$WorkshopCannotBuildTooManyObjsInSphere	Не удается разместить вашу платформу C.A.M.P.: слишком много пересекающихся объектов.
$WorkshopCampBuildRulesMismatch	Данную конфигурацию C.A.M.P. нельзя разместить здесь из-за более жестких ограничений на постройку.
$WorkshopControlsObjectRotation	Вращение объекта
$WorkshopControlsVerticalMovement	Перемещение по вертикали
$WorkshopFreeCameraControlsPressHold	Зажмите
$WorkshopFreeCameraControlsUseHoldToggle	Переключение режима свободной камеры зажатием кнопки
$WorkshopFreeCameraDisabled	Режим свободной камеры временно отключен.
$WorkshopFreeCameraOutsideLoadedCellRange	Свободную камеру нельзя отодвинуть от игрока еще дальше
$WorkshopFreeCameraTranslationSpeed	Скорость перемещения свободной камеры
$WorkshopFreeCameraRotationSpeed	Скорость поворота свободной камеры
$WorkshopFreeCameraStartAtPreviousLocation	Запустить свободную камеру с последней точки
$WorkshopFurnitureEntryBlocked	Нельзя разместить предмет: внос мебели недоступен.
$WorkshopIsSignificantlyOverBudget	Из-за превышения бюджета C.A.M.P. многие действия недоступны. Посетите свою C.A.M.P. и разберите или уничтожьте часть предметов, чтобы устранить превышение.
$WorkshopNoActiveCampSlot	Нет активной ячейки C.A.M.P.
$WorkshopPlacementCampActivated	C.A.M.P. активирована.
$WorkshopPlacementCocArea	Нельзя разместить предмет: место игрока недоступно.
